Episode,TotalReward,FoodCollected,EpisodeLength,RandomActions,GreedyActions
1,-24,16,200,43,157
2,-79,11,200,39,161
3,-112,8,200,40,160
4,-35,15,200,50,150
5,-156,4,200,44,156
6,-123,7,200,54,146
7,-57,13,200,42,158
8,-134,6,200,48,152
9,-68,12,200,44,156
10,53,23,200,31,169
11,-13,17,200,37,163
12,-2,18,200,35,165
13,-68,12,200,47,153
14,-35,15,200,40,160
15,-2,18,200,34,166
16,-24,16,200,36,164
17,53,23,200,43,157
18,9,19,200,38,162
19,-46,14,200,43,157
20,-2,18,200,42,158
21,20,20,200,34,166
22,-24,16,200,38,162
23,-2,18,200,58,142
24,-68,12,200,38,162
25,-35,15,200,43,157
26,-2,18,200,39,161
27,141,31,200,39,161
28,130,30,200,40,160
29,42,22,200,38,162
30,-2,18,200,39,161
31,20,20,200,31,169
32,-35,15,200,41,159
33,-57,13,200,49,151
34,75,25,200,32,168
35,42,22,200,43,157
36,97,27,200,45,155
37,64,24,200,36,164
38,-2,18,200,44,156
39,53,23,200,41,159
40,119,29,200,36,164
41,-79,11,200,35,165
42,-2,18,200,38,162
43,108,28,200,37,163
44,97,27,200,41,159
45,31,21,200,37,163
46,-35,15,200,44,156
47,75,25,200,42,158
48,196,36,200,43,157
49,86,26,200,43,157
50,42,22,200,42,158
51,-90,10,200,41,159
52,130,30,200,47,153
53,53,23,200,37,163
54,130,30,200,46,154
55,31,21,200,33,167
56,152,32,200,44,156
57,163,33,200,42,158
58,97,27,200,39,161
59,141,31,200,47,153
60,328,48,200,42,158
61,-112,8,200,35,165
62,31,21,200,39,161
63,108,28,200,39,161
64,86,26,200,40,160
65,119,29,200,38,162
66,108,28,200,46,154
67,174,34,200,43,157
68,174,34,200,48,152
69,295,45,200,49,151
70,130,30,200,36,164
71,174,34,200,49,151
72,141,31,200,38,162
73,163,33,200,38,162
74,152,32,200,49,151
75,196,36,200,41,159
76,108,28,200,46,154
77,86,26,200,32,168
78,383,53,200,36,164
79,130,30,200,56,144
80,-46,14,200,39,161
81,295,45,200,44,156
82,218,38,200,37,163
83,284,44,200,40,160
84,-13,17,200,47,153
85,31,21,200,40,160
86,-2,18,200,44,156
87,174,34,200,27,173
88,152,32,200,33,167
89,251,41,200,37,163
90,262,42,200,35,165
91,174,34,200,35,165
92,31,21,200,42,158
93,218,38,200,32,168
94,383,53,200,41,159
95,-13,17,200,35,165
96,185,35,200,26,174
97,75,25,200,35,165
98,97,27,200,44,156
99,-90,10,200,42,158
100,152,32,200,45,155
101,141,31,200,35,165
102,196,36,200,43,157
103,262,42,200,39,161
104,416,56,200,40,160
105,273,43,200,32,168
106,130,30,200,35,165
107,97,27,200,42,158
108,-13,17,200,38,162
109,64,24,200,30,170
110,86,26,200,45,155
111,196,36,200,44,156
112,-178,2,200,42,158
113,-79,11,200,37,163
114,317,47,200,46,154
115,251,41,200,45,155
116,119,29,200,41,159
117,-68,12,200,39,161
118,130,30,200,33,167
119,-57,13,200,34,166
120,262,42,200,38,162
121,152,32,200,46,154
122,20,20,200,39,161
123,262,42,200,38,162
124,119,29,200,42,158
125,383,53,200,41,159
126,229,39,200,43,157
127,295,45,200,42,158
128,284,44,200,35,165
129,152,32,200,43,157
130,361,51,200,39,161
131,350,50,200,48,152
132,262,42,200,33,167
133,-145,5,200,38,162
134,108,28,200,40,160
135,174,34,200,40,160
136,141,31,200,34,166
137,295,45,200,35,165
138,-2,18,200,41,159
139,273,43,200,38,162
140,31,21,200,36,164
141,317,47,200,39,161
142,-156,4,200,42,158
143,-90,10,200,29,171
144,196,36,200,39,161
145,97,27,200,35,165
146,141,31,200,44,156
147,185,35,200,46,154
148,218,38,200,34,166
149,-35,15,200,40,160
150,218,38,200,47,153
151,174,34,200,39,161
152,-13,17,200,43,157
153,328,48,200,39,161
154,-200,0,200,42,158
155,64,24,200,39,161
156,229,39,200,49,151
157,163,33,200,43,157
158,240,40,200,39,161
159,119,29,200,37,163
160,42,22,200,41,159
161,-24,16,200,43,157
162,141,31,200,40,160
163,174,34,200,30,170
164,-79,11,200,42,158
165,-46,14,200,36,164
166,-13,17,200,41,159
167,20,20,200,39,161
168,416,56,200,38,162
169,64,24,200,38,162
170,75,25,200,36,164
171,-24,16,200,38,162
172,108,28,200,34,166
173,-79,11,200,40,160
174,-24,16,200,38,162
175,273,43,200,47,153
176,383,53,200,43,157
177,108,28,200,38,162
178,163,33,200,45,155
179,350,50,200,36,164
180,97,27,200,51,149
181,-167,3,200,35,165
182,251,41,200,54,146
183,185,35,200,38,162
184,273,43,200,43,157
185,86,26,200,46,154
186,196,36,200,44,156
187,130,30,200,45,155
188,42,22,200,41,159
189,97,27,200,40,160
190,273,43,200,39,161
191,9,19,200,40,160
192,-46,14,200,46,154
193,75,25,200,58,142
194,317,47,200,46,154
195,163,33,200,39,161
196,251,41,200,40,160
197,-35,15,200,42,158
198,86,26,200,37,163
199,141,31,200,27,173
200,-35,15,200,35,165
201,97,27,200,47,153
202,97,27,200,48,152
203,328,48,200,32,168
204,350,50,200,43,157
205,-68,12,200,41,159
206,97,27,200,36,164
207,152,32,200,35,165
208,-57,13,200,34,166
209,240,40,200,48,152
210,240,40,200,55,145
211,328,48,200,34,166
212,-112,8,200,32,168
213,-46,14,200,38,162
214,229,39,200,35,165
215,229,39,200,39,161
216,262,42,200,49,151
217,163,33,200,41,159
218,229,39,200,56,144
219,372,52,200,40,160
220,75,25,200,39,161
221,86,26,200,45,155
222,-90,10,200,42,158
223,86,26,200,35,165
224,295,45,200,41,159
225,119,29,200,32,168
226,372,52,200,38,162
227,97,27,200,45,155
228,207,37,200,37,163
229,372,52,200,38,162
230,361,51,200,47,153
231,97,27,200,36,164
232,130,30,200,44,156
233,372,52,200,36,164
234,-24,16,200,40,160
235,119,29,200,39,161
236,295,45,200,40,160
237,108,28,200,35,165
238,-2,18,200,50,150
239,53,23,200,28,172
240,284,44,200,44,156
241,9,19,200,41,159
242,207,37,200,37,163
243,383,53,200,36,164
244,-68,12,200,47,153
245,-57,13,200,37,163
246,427,57,200,38,162
247,86,26,200,44,156
248,64,24,200,45,155
249,262,42,200,41,159
250,-13,17,200,38,162
251,75,25,200,50,150
252,262,42,200,45,155
253,-2,18,200,40,160
254,185,35,200,49,151
255,196,36,200,46,154
256,240,40,200,34,166
257,-101,9,200,33,167
258,-24,16,200,33,167
259,394,54,200,38,162
260,163,33,200,45,155
261,328,48,200,40,160
262,9,19,200,36,164
263,229,39,200,31,169
264,64,24,200,40,160
265,394,54,200,38,162
266,97,27,200,37,163
267,229,39,200,41,159
268,141,31,200,36,164
269,86,26,200,48,152
270,185,35,200,44,156
271,-46,14,200,37,163
272,163,33,200,38,162
273,-112,8,200,44,156
274,130,30,200,40,160
275,97,27,200,39,161
276,284,44,200,49,151
277,64,24,200,44,156
278,9,19,200,44,156
279,174,34,200,45,155
280,-123,7,200,37,163
281,-200,0,200,33,167
282,64,24,200,38,162
283,240,40,200,50,150
284,317,47,200,45,155
285,273,43,200,26,174
286,471,61,200,43,157
287,53,23,200,42,158
288,119,29,200,39,161
289,295,45,200,43,157
290,97,27,200,44,156
291,339,49,200,38,162
292,295,45,200,44,156
293,240,40,200,41,159
294,306,46,200,42,158
295,240,40,200,43,157
296,306,46,200,43,157
297,75,25,200,36,164
298,-167,3,200,47,153
299,240,40,200,38,162
300,163,33,200,38,162
301,141,31,200,37,163
302,108,28,200,43,157
303,218,38,200,33,167
304,-178,2,200,40,160
305,-79,11,200,40,160
306,53,23,200,45,155
307,207,37,200,36,164
308,207,37,200,41,159
309,196,36,200,35,165
310,174,34,200,46,154
311,273,43,200,38,162
312,141,31,200,42,158
313,251,41,200,33,167
314,-13,17,200,39,161
315,229,39,200,38,162
316,207,37,200,42,158
317,317,47,200,37,163
318,-46,14,200,37,163
319,196,36,200,39,161
320,152,32,200,42,158
321,273,43,200,39,161
322,31,21,200,41,159
323,-24,16,200,51,149
324,328,48,200,34,166
325,196,36,200,43,157
326,86,26,200,40,160
327,163,33,200,45,155
328,251,41,200,42,158
329,394,54,200,43,157
330,75,25,200,40,160
331,-2,18,200,38,162
332,339,49,200,45,155
333,119,29,200,35,165
334,273,43,200,48,152
335,174,34,200,33,167
336,328,48,200,28,172
337,383,53,200,42,158
338,218,38,200,34,166
339,350,50,200,53,147
340,185,35,200,44,156
341,64,24,200,33,167
342,229,39,200,46,154
343,174,34,200,40,160
344,-79,11,200,41,159
345,185,35,200,43,157
346,-79,11,200,36,164
347,328,48,200,41,159
348,141,31,200,44,156
349,240,40,200,35,165
350,-13,17,200,41,159
351,174,34,200,46,154
352,163,33,200,38,162
353,218,38,200,38,162
354,9,19,200,41,159
355,163,33,200,34,166
356,196,36,200,38,162
357,-90,10,200,36,164
358,119,29,200,40,160
359,317,47,200,35,165
360,108,28,200,46,154
361,273,43,200,46,154
362,130,30,200,38,162
363,295,45,200,39,161
364,284,44,200,43,157
365,152,32,200,43,157
366,-13,17,200,41,159
367,207,37,200,37,163
368,9,19,200,37,163
369,-2,18,200,38,162
370,174,34,200,36,164
371,108,28,200,40,160
372,218,38,200,41,159
373,218,38,200,44,156
374,273,43,200,50,150
375,97,27,200,46,154
376,240,40,200,47,153
377,306,46,200,42,158
378,350,50,200,41,159
379,108,28,200,39,161
380,-189,1,200,40,160
381,185,35,200,54,146
382,262,42,200,41,159
383,108,28,200,36,164
384,42,22,200,29,171
385,86,26,200,37,163
386,273,43,200,49,151
387,20,20,200,37,163
388,64,24,200,38,162
389,240,40,200,41,159
390,339,49,200,47,153
391,97,27,200,31,169
392,119,29,200,37,163
393,-90,10,200,34,166
394,273,43,200,45,155
395,-90,10,200,42,158
396,141,31,200,34,166
397,141,31,200,38,162
398,328,48,200,33,167
399,174,34,200,38,162
400,-167,3,200,49,151
401,97,27,200,39,161
402,97,27,200,36,164
403,141,31,200,38,162
404,75,25,200,42,158
405,64,24,200,39,161
406,174,34,200,40,160
407,185,35,200,27,173
408,185,35,200,49,151
409,196,36,200,39,161
410,251,41,200,36,164
411,-13,17,200,46,154
412,42,22,200,38,162
413,152,32,200,38,162
414,-2,18,200,38,162
415,328,48,200,39,161
416,42,22,200,33,167
417,-35,15,200,39,161
418,240,40,200,52,148
419,383,53,200,35,165
420,42,22,200,46,154
421,-68,12,200,50,150
422,229,39,200,45,155
423,119,29,200,44,156
424,42,22,200,47,153
425,174,34,200,50,150
426,-46,14,200,48,152
427,163,33,200,48,152
428,262,42,200,41,159
429,119,29,200,38,162
430,130,30,200,44,156
431,-24,16,200,37,163
432,119,29,200,25,175
433,207,37,200,38,162
434,251,41,200,48,152
435,163,33,200,37,163
436,130,30,200,39,161
437,262,42,200,42,158
438,130,30,200,47,153
439,361,51,200,36,164
440,-68,12,200,50,150
441,130,30,200,38,162
442,75,25,200,37,163
443,-13,17,200,47,153
444,-57,13,200,47,153
445,394,54,200,22,178
446,9,19,200,33,167
447,383,53,200,57,143
448,75,25,200,44,156
449,207,37,200,38,162
450,273,43,200,41,159
451,152,32,200,30,170
452,-13,17,200,40,160
453,53,23,200,40,160
454,251,41,200,45,155
455,-13,17,200,34,166
456,218,38,200,30,170
457,504,64,200,44,156
458,218,38,200,33,167
459,196,36,200,50,150
460,53,23,200,43,157
461,361,51,200,38,162
462,75,25,200,45,155
463,350,50,200,34,166
464,20,20,200,34,166
465,196,36,200,41,159
466,163,33,200,37,163
467,295,45,200,37,163
468,284,44,200,37,163
469,42,22,200,40,160
470,75,25,200,37,163
471,218,38,200,37,163
472,240,40,200,40,160
473,174,34,200,42,158
474,207,37,200,40,160
475,306,46,200,43,157
476,372,52,200,40,160
477,141,31,200,43,157
478,130,30,200,25,175
479,42,22,200,29,171
480,-57,13,200,27,173
481,262,42,200,33,167
482,86,26,200,31,169
483,196,36,200,45,155
484,86,26,200,56,144
485,251,41,200,48,152
486,75,25,200,40,160
487,163,33,200,42,158
488,196,36,200,38,162
489,-2,18,200,38,162
490,130,30,200,50,150
491,9,19,200,36,164
492,108,28,200,34,166
493,141,31,200,40,160
494,328,48,200,37,163
495,-57,13,200,40,160
496,405,55,200,45,155
497,97,27,200,43,157
498,64,24,200,39,161
499,174,34,200,30,170
500,152,32,200,43,157
501,97,27,200,38,162
502,-2,18,200,41,159
503,185,35,200,38,162
504,130,30,200,34,166
505,163,33,200,38,162
506,-24,16,200,43,157
507,174,34,200,42,158
508,9,19,200,33,167
509,-68,12,200,46,154
510,350,50,200,42,158
511,-200,0,200,37,163
512,141,31,200,42,158
513,-2,18,200,38,162
514,284,44,200,40,160
515,196,36,200,48,152
516,174,34,200,35,165
517,262,42,200,44,156
518,350,50,200,41,159
519,207,37,200,41,159
520,31,21,200,38,162
521,130,30,200,42,158
522,284,44,200,45,155
523,163,33,200,42,158
524,416,56,200,40,160
525,416,56,200,39,161
526,185,35,200,43,157
527,273,43,200,39,161
528,196,36,200,32,168
529,163,33,200,36,164
530,152,32,200,36,164
531,-2,18,200,43,157
532,-101,9,200,26,174
533,229,39,200,32,168
534,141,31,200,35,165
535,229,39,200,42,158
536,-2,18,200,43,157
537,273,43,200,36,164
538,207,37,200,46,154
539,-24,16,200,33,167
540,196,36,200,33,167
541,-101,9,200,42,158
542,152,32,200,38,162
543,9,19,200,38,162
544,207,37,200,40,160
545,174,34,200,44,156
546,-46,14,200,37,163
547,20,20,200,53,147
548,229,39,200,43,157
549,218,38,200,44,156
550,251,41,200,36,164
551,152,32,200,40,160
552,9,19,200,31,169
553,240,40,200,39,161
554,262,42,200,39,161
555,306,46,200,38,162
556,339,49,200,44,156
557,383,53,200,41,159
558,42,22,200,44,156
559,295,45,200,47,153
560,262,42,200,41,159
561,218,38,200,45,155
562,9,19,200,45,155
563,64,24,200,44,156
564,207,37,200,33,167
565,163,33,200,35,165
566,163,33,200,45,155
567,9,19,200,50,150
568,163,33,200,52,148
569,-35,15,200,42,158
570,240,40,200,44,156
571,-90,10,200,34,166
572,108,28,200,35,165
573,196,36,200,38,162
574,218,38,200,34,166
575,108,28,200,41,159
576,108,28,200,45,155
577,163,33,200,32,168
578,240,40,200,37,163
579,-24,16,200,33,167
580,251,41,200,33,167
581,339,49,200,39,161
582,-2,18,200,35,165
583,284,44,200,45,155
584,152,32,200,41,159
585,64,24,200,39,161
586,-145,5,200,42,158
587,306,46,200,34,166
588,262,42,200,42,158
589,394,54,200,40,160
590,108,28,200,49,151
591,295,45,200,37,163
592,42,22,200,43,157
593,152,32,200,30,170
594,295,45,200,40,160
595,207,37,200,36,164
596,9,19,200,44,156
597,229,39,200,39,161
598,163,33,200,37,163
599,108,28,200,44,156
600,229,39,200,43,157
601,306,46,200,38,162
602,119,29,200,39,161
603,262,42,200,41,159
604,262,42,200,34,166
605,163,33,200,39,161
606,174,34,200,41,159
607,152,32,200,35,165
608,86,26,200,47,153
609,350,50,200,40,160
610,-35,15,200,31,169
611,119,29,200,49,151
612,372,52,200,30,170
613,295,45,200,33,167
614,427,57,200,49,151
615,163,33,200,34,166
616,196,36,200,32,168
617,97,27,200,35,165
618,108,28,200,35,165
619,361,51,200,51,149
620,-46,14,200,33,167
621,-2,18,200,52,148
622,350,50,200,36,164
623,174,34,200,45,155
624,317,47,200,29,171
625,350,50,200,52,148
626,130,30,200,51,149
627,218,38,200,32,168
628,207,37,200,44,156
629,152,32,200,46,154
630,229,39,200,34,166
631,152,32,200,49,151
632,207,37,200,42,158
633,42,22,200,43,157
634,306,46,200,35,165
635,130,30,200,43,157
636,108,28,200,37,163
637,108,28,200,54,146
638,-68,12,200,38,162
639,273,43,200,47,153
640,317,47,200,42,158
641,20,20,200,40,160
642,97,27,200,40,160
643,75,25,200,38,162
644,-79,11,200,27,173
645,97,27,200,45,155
646,53,23,200,30,170
647,427,57,200,39,161
648,317,47,200,32,168
649,-24,16,200,40,160
650,317,47,200,36,164
651,218,38,200,40,160
652,262,42,200,47,153
653,97,27,200,30,170
654,328,48,200,41,159
655,-112,8,200,49,151
656,174,34,200,34,166
657,185,35,200,42,158
658,174,34,200,33,167
659,-46,14,200,54,146
660,64,24,200,33,167
661,64,24,200,44,156
662,394,54,200,45,155
663,229,39,200,45,155
664,185,35,200,29,171
665,141,31,200,25,175
666,108,28,200,39,161
667,53,23,200,28,172
668,64,24,200,33,167
669,-35,15,200,40,160
670,196,36,200,43,157
671,317,47,200,37,163
672,394,54,200,39,161
673,295,45,200,34,166
674,97,27,200,38,162
675,372,52,200,32,168
676,416,56,200,39,161
677,174,34,200,41,159
678,449,59,200,49,151
679,75,25,200,33,167
680,207,37,200,41,159
681,-112,8,200,38,162
682,-46,14,200,41,159
683,75,25,200,43,157
684,405,55,200,39,161
685,273,43,200,43,157
686,141,31,200,50,150
687,97,27,200,40,160
688,42,22,200,39,161
689,20,20,200,41,159
690,-112,8,200,50,150
691,130,30,200,42,158
692,284,44,200,33,167
693,130,30,200,45,155
694,328,48,200,35,165
695,152,32,200,40,160
696,108,28,200,36,164
697,218,38,200,42,158
698,108,28,200,51,149
699,86,26,200,45,155
700,295,45,200,50,150
701,-13,17,200,40,160
702,20,20,200,39,161
703,141,31,200,26,174
704,141,31,200,43,157
705,185,35,200,40,160
706,405,55,200,43,157
707,174,34,200,32,168
708,31,21,200,37,163
709,262,42,200,33,167
710,86,26,200,50,150
711,20,20,200,50,150
712,141,31,200,42,158
713,42,22,200,34,166
714,152,32,200,36,164
715,383,53,200,36,164
716,163,33,200,43,157
717,240,40,200,27,173
718,163,33,200,46,154
719,185,35,200,36,164
720,372,52,200,35,165
721,130,30,200,38,162
722,108,28,200,42,158
723,152,32,200,43,157
724,86,26,200,32,168
725,-46,14,200,37,163
726,86,26,200,34,166
727,185,35,200,52,148
728,97,27,200,37,163
729,20,20,200,37,163
730,75,25,200,36,164
731,75,25,200,42,158
732,207,37,200,39,161
733,75,25,200,40,160
734,119,29,200,42,158
735,163,33,200,34,166
736,339,49,200,33,167
737,20,20,200,34,166
738,-2,18,200,35,165
739,262,42,200,37,163
740,130,30,200,45,155
741,361,51,200,41,159
742,361,51,200,47,153
743,174,34,200,38,162
744,174,34,200,30,170
745,64,24,200,42,158
746,86,26,200,38,162
747,-46,14,200,39,161
748,-90,10,200,28,172
749,306,46,200,42,158
750,9,19,200,42,158
751,108,28,200,41,159
752,119,29,200,32,168
753,350,50,200,30,170
754,64,24,200,47,153
755,20,20,200,43,157
756,174,34,200,32,168
757,185,35,200,45,155
758,-134,6,200,29,171
759,130,30,200,38,162
760,251,41,200,34,166
761,295,45,200,44,156
762,-90,10,200,46,154
763,119,29,200,43,157
764,75,25,200,47,153
765,119,29,200,49,151
766,130,30,200,40,160
767,97,27,200,35,165
768,97,27,200,35,165
769,-2,18,200,38,162
770,240,40,200,42,158
771,31,21,200,45,155
772,119,29,200,29,171
773,361,51,200,39,161
774,130,30,200,45,155
775,515,65,200,32,168
776,196,36,200,49,151
777,20,20,200,41,159
778,185,35,200,46,154
779,240,40,200,48,152
780,229,39,200,38,162
781,152,32,200,41,159
782,-68,12,200,41,159
783,251,41,200,44,156
784,251,41,200,39,161
785,185,35,200,38,162
786,86,26,200,40,160
787,306,46,200,38,162
788,394,54,200,32,168
789,317,47,200,41,159
790,328,48,200,32,168
791,97,27,200,35,165
792,416,56,200,39,161
793,42,22,200,40,160
794,-35,15,200,43,157
795,64,24,200,32,168
796,229,39,200,43,157
797,218,38,200,40,160
798,130,30,200,42,158
799,427,57,200,48,152
800,42,22,200,44,156
801,-68,12,200,38,162
802,-68,12,200,46,154
803,-90,10,200,38,162
804,295,45,200,44,156
805,273,43,200,43,157
806,262,42,200,43,157
807,119,29,200,42,158
808,141,31,200,47,153
809,20,20,200,54,146
810,119,29,200,40,160
811,295,45,200,39,161
812,64,24,200,40,160
813,20,20,200,41,159
814,174,34,200,37,163
815,53,23,200,49,151
816,119,29,200,37,163
817,152,32,200,47,153
818,86,26,200,44,156
819,31,21,200,38,162
820,163,33,200,44,156
821,174,34,200,40,160
822,240,40,200,45,155
823,75,25,200,33,167
824,207,37,200,46,154
825,53,23,200,45,155
826,-156,4,200,38,162
827,185,35,200,42,158
828,218,38,200,40,160
829,-13,17,200,35,165
830,75,25,200,40,160
831,262,42,200,41,159
832,251,41,200,33,167
833,163,33,200,49,151
834,163,33,200,46,154
835,317,47,200,48,152
836,20,20,200,44,156
837,218,38,200,47,153
838,185,35,200,35,165
839,64,24,200,53,147
840,53,23,200,48,152
841,152,32,200,41,159
842,86,26,200,41,159
843,-13,17,200,36,164
844,152,32,200,32,168
845,394,54,200,38,162
846,64,24,200,34,166
847,328,48,200,41,159
848,97,27,200,41,159
849,361,51,200,45,155
850,240,40,200,36,164
851,97,27,200,33,167
852,42,22,200,30,170
853,229,39,200,40,160
854,174,34,200,35,165
855,108,28,200,45,155
856,251,41,200,44,156
857,229,39,200,40,160
858,75,25,200,57,143
859,295,45,200,38,162
860,97,27,200,34,166
861,361,51,200,33,167
862,262,42,200,44,156
863,119,29,200,43,157
864,218,38,200,50,150
865,262,42,200,39,161
866,75,25,200,34,166
867,53,23,200,46,154
868,130,30,200,53,147
869,207,37,200,42,158
870,229,39,200,42,158
871,306,46,200,41,159
872,31,21,200,38,162
873,130,30,200,36,164
874,141,31,200,45,155
875,152,32,200,47,153
876,174,34,200,32,168
877,42,22,200,42,158
878,152,32,200,33,167
879,229,39,200,36,164
880,218,38,200,37,163
881,-46,14,200,43,157
882,64,24,200,51,149
883,-24,16,200,41,159
884,163,33,200,45,155
885,86,26,200,42,158
886,130,30,200,44,156
887,-46,14,200,39,161
888,207,37,200,41,159
889,31,21,200,47,153
890,229,39,200,47,153
891,251,41,200,40,160
892,196,36,200,37,163
893,152,32,200,39,161
894,317,47,200,30,170
895,152,32,200,42,158
896,295,45,200,51,149
897,229,39,200,51,149
898,328,48,200,46,154
899,108,28,200,50,150
900,218,38,200,44,156
901,218,38,200,47,153
902,229,39,200,40,160
903,251,41,200,30,170
904,262,42,200,39,161
905,64,24,200,39,161
906,152,32,200,37,163
907,218,38,200,42,158
908,339,49,200,47,153
909,163,33,200,39,161
910,185,35,200,46,154
911,339,49,200,42,158
912,240,40,200,39,161
913,383,53,200,36,164
914,141,31,200,46,154
915,394,54,200,39,161
916,295,45,200,47,153
917,108,28,200,54,146
918,218,38,200,41,159
919,218,38,200,46,154
920,229,39,200,48,152
921,339,49,200,37,163
922,185,35,200,51,149
923,251,41,200,44,156
924,240,40,200,41,159
925,53,23,200,44,156
926,-13,17,200,44,156
927,262,42,200,42,158
928,295,45,200,45,155
929,-57,13,200,39,161
930,207,37,200,34,166
931,218,38,200,37,163
932,328,48,200,37,163
933,196,36,200,28,172
934,75,25,200,39,161
935,317,47,200,43,157
936,163,33,200,43,157
937,240,40,200,37,163
938,251,41,200,36,164
939,-2,18,200,32,168
940,152,32,200,36,164
941,273,43,200,42,158
942,152,32,200,29,171
943,174,34,200,43,157
944,119,29,200,42,158
945,152,32,200,43,157
946,-24,16,200,43,157
947,185,35,200,42,158
948,196,36,200,37,163
949,317,47,200,34,166
950,306,46,200,29,171
951,-2,18,200,43,157
952,262,42,200,43,157
953,229,39,200,36,164
954,251,41,200,45,155
955,31,21,200,50,150
956,229,39,200,43,157
957,42,22,200,45,155
958,240,40,200,46,154
959,119,29,200,33,167
960,119,29,200,45,155
961,53,23,200,40,160
962,394,54,200,35,165
963,295,45,200,53,147
964,273,43,200,35,165
965,240,40,200,50,150
966,251,41,200,39,161
967,152,32,200,57,143
968,317,47,200,39,161
969,273,43,200,39,161
970,130,30,200,40,160
971,273,43,200,44,156
972,9,19,200,41,159
973,75,25,200,42,158
974,295,45,200,33,167
975,405,55,200,34,166
976,262,42,200,38,162
977,-2,18,200,34,166
978,295,45,200,44,156
979,31,21,200,38,162
980,141,31,200,48,152
981,97,27,200,37,163
982,262,42,200,44,156
983,130,30,200,38,162
984,53,23,200,46,154
985,141,31,200,37,163
986,295,45,200,41,159
987,-79,11,200,35,165
988,163,33,200,45,155
989,273,43,200,40,160
990,196,36,200,45,155
991,130,30,200,28,172
992,-112,8,200,30,170
993,207,37,200,37,163
994,295,45,200,46,154
995,42,22,200,33,167
996,295,45,200,38,162
997,306,46,200,45,155
998,130,30,200,38,162
999,152,32,200,48,152
1000,-112,8,200,49,151
